name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2025-01-01,45.5,38.5,41.3,45.5,35.5,40.2,36.9,84.4,0.007,0,0,rain,0,0,12.5,6.7,115.3,1016.9,64.9,9.6,27.1,2.3,2,,2025-01-01T07:57:44,2025-01-01T16:28:51,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2025-01-02,46.2,38.3,42.2,45.1,35.4,41.1,37.3,83,0.019,100,4.17,rain,0,0,12.8,7.2,125.6,1017.9,84.6,9.3,15.5,1.3,1,,2025-01-02T07:57:40,2025-01-02T16:29:51,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2025-01-03,46.2,39.5,43.2,45.9,37.1,41.5,40.4,89.7,0.292,100,29.17,rain,0,0,23,8.5,66.8,1009.2,81.9,8,11.3,0.9,1,,2025-01-03T07:57:34,2025-01-03T16:30:53,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,C1943,KRNT"
seattle,2025-01-04,46.3,38.2,43.4,46.3,36,41.8,40.9,91.1,0.081,100,20.83,rain,0,0,22.1,10,132.5,1015.3,98.9,8.5,11.5,1,1,,2025-01-04T07:57:24,2025-01-04T16:31:57,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,C1943,KRNT"
seattle,2025-01-05,50.8,45,48,50.8,42.1,47.1,46.1,93,0.014,0,4.17,rain,0,0,23,7.2,159.9,1022.8,99.7,6.5,12.5,0.9,1,,2025-01-05T07:57:12,2025-01-05T16:33:04,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,C1943,KRNT"
seattle,2025-01-06,47.6,42.2,44.5,45.8,38.5,42.4,41,87.3,0,0,0,,0,0,15.4,9.5,355.1,1031.8,99.2,8.3,17,1.6,1,,2025-01-06T07:56:57,2025-01-06T16:34:12,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,C1943,KRNT"
seattle,2025-01-07,45.1,38.9,42,43.9,36.8,40.3,37.7,84.7,0,0,0,,0,0,14.8,8.4,130.2,1032,87.7,8.3,33.3,2.8,3,,2025-01-07T07:56:40,2025-01-07T16:35:22,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,C1943,KRNT"
seattle,2025-01-08,50.3,42.2,45.9,50.3,38.3,44.3,41.2,83.5,0.028,100,4.17,rain,0,0,13.6,8.2,349.2,1032.5,84.8,9.7,42.5,3.7,4,,2025-01-08T07:56:19,2025-01-08T16:36:34,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2025-01-09,50.5,41.2,45.3,50.5,40.8,44.3,40.9,84.9,0,0,0,,0,0,14.5,8.2,57.4,1029.9,69,7.5,60.8,5.3,3,,2025-01-09T07:55:56,2025-01-09T16:37:47,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2025-01-10,49.8,42.8,46,49.8,38.3,43.6,41.9,85.7,0.177,100,16.67,rain,0,0,21.7,11.6,139.5,1024,85.3,8.4,17.8,1.6,2,,2025-01-10T07:55:29,2025-01-10T16:39:03,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,C1943,KRNT"
seattle,2025-01-11,46.9,37.3,42.3,46.9,34.8,40.5,38.2,85.7,0,0,0,,0,0,12.1,7.2,144.6,1033.4,56.7,9.3,50.5,4.3,3,,2025-01-11T07:55:01,2025-01-11T16:40:19,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
