FIPS,State Name,State,Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,SNAP Threshold in State,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure Children in HH w/HH Incomes Below 185 FPL,% food insecure Children in HH w/HH Incomes Above 185 FPL
1,Alabama,AL,2023,17.5%,"896,510",130%,48%,52%,22.2%,"250,580",75%,25%
2,Alaska,AK,2023,14.5%,"106,080",130%,45%,55%,17.8%,"31,030",67%,33%
4,Arizona,AZ,2023,14.4%,"1,067,120",185%,58%,42%,18.4%,"291,290",64%,36%
5,Arkansas,AR,2023,19.3%,"592,860",130%,49%,51%,24.0%,"167,940",73%,27%
6,California,CA,2023,13.7%,"5,352,790",200%,63%,37%,16.9%,"1,427,650",66%,34%
8,Colorado,CO,2023,12.7%,"744,950",200%,53%,48%,14.3%,"172,540",56%,44%
9,Connecticut,CT,2023,14.3%,"516,640",200%,57%,43%,17.0%,"122,660",62%,38%
10,Delaware,DE,2023,13.0%,"134,320",200%,55%,45%,17.9%,"37,920",67%,33%
11,District of Columbia,DC,2023,12.4%,"83,960",200%,56%,44%,14.7%,"18,570",67%,33%
12,Florida,FL,2023,14.4%,"3,247,180",200%,61%,39%,18.4%,"806,870",67%,33%
13,Georgia,GA,2023,14.9%,"1,643,270",130%,43%,57%,19.6%,"496,110",70%,30%
15,Hawaii,HI,2023,14.2%,"203,220",200%,50%,50%,20.7%,"60,840",49%,51%
16,Idaho,ID,2023,12.7%,"250,260",130%,37%,63%,16.2%,"75,640",65%,35%
17,Illinois,IL,2023,13.1%,"1,647,630",165%,51%,49%,15.5%,"419,180",68%,32%
18,Indiana,IN,2023,15.1%,"1,033,890",130%,44%,56%,18.5%,"292,720",72%,28%
19,Iowa,IA,2023,12.0%,"385,130",160%,49%,51%,16.6%,"120,220",64%,36%
20,Kansas,KS,2023,14.0%,"410,760",130%,40%,60%,18.4%,"126,260",65%,35%
21,Kentucky,KY,2023,16.6%,"753,410",200%,71%,30%,21.1%,"213,830",73%,27%
22,Louisiana,LA,2023,18.1%,"827,690",200%,68%,32%,23.4%,"248,630",75%,25%
23,Maine,ME,2023,13.8%,"191,920",200%,58%,42%,20.6%,"50,610",64%,36%
24,Maryland,MD,2023,13.3%,"824,930",200%,54%,47%,16.1%,"219,040",58%,42%
25,Massachusetts,MA,2023,11.5%,"804,180",200%,58%,42%,13.2%,"177,040",68%,32%
26,Michigan,MI,2023,15.4%,"1,544,250",200%,63%,37%,19.1%,"402,680",71%,29%
27,Minnesota,MN,2023,10.4%,"596,190",200%,58%,42%,14.3%,"185,010",68%,32%
28,Mississippi,MS,2023,19.4%,"571,660",130%,50%,50%,23.0%,"155,190",76%,24%
29,Missouri,MO,2023,15.4%,"951,330",130%,41%,59%,18.1%,"248,620",68%,32%
30,Montana,MT,2023,12.3%,"139,890",200%,59%,41%,17.0%,"40,100",64%,36%
31,Nebraska,NE,2023,14.5%,"287,240",165%,50%,50%,19.2%,"91,930",60%,40%
32,Nevada,NV,2023,15.1%,"481,460",200%,62%,38%,20.0%,"136,580",68%,32%
33,New Hampshire,NH,2023,10.7%,"149,820",200%,47%,53%,14.4%,"36,160",49%,51%
34,New Jersey,NJ,2023,11.7%,"1,089,190",185%,55%,45%,13.5%,"271,650",72%,28%
35,New Mexico,NM,2023,16.6%,"350,010",200%,76%,24%,23.3%,"104,390",78%,22%
36,New York,NY,2023,14.5%,"2,831,080",200%,65%,35%,19.0%,"750,180",78%,22%
37,North Carolina,NC,2023,15.0%,"1,627,360",200%,62%,38%,18.9%,"438,200",73%,27%
38,North Dakota,ND,2023,9.9%,"77,880",200%,54%,46%,13.6%,"24,510",49%,51%
39,Ohio,OH,2023,15.3%,"1,800,530",130%,44%,56%,20.1%,"517,450",72%,28%
40,Oklahoma,OK,2023,18.4%,"745,130",130%,45%,55%,24.0%,"231,800",67%,33%
41,Oregon,OR,2023,14.2%,"599,460",200%,60%,40%,17.5%,"145,060",62%,38%
42,Pennsylvania,PA,2023,13.2%,"1,710,480",200%,59%,41%,18.1%,"475,230",69%,31%
44,Rhode Island,RI,2023,12.3%,"135,200",185%,56%,44%,15.2%,"30,930",71%,29%
45,South Carolina,SC,2023,14.1%,"757,840",130%,47%,53%,17.2%,"196,320",71%,29%
46,South Dakota,SD,2023,12.4%,"113,750",130%,44%,56%,18.3%,"39,960",75%,25%
47,Tennessee,TN,2023,15.6%,"1,111,150",130%,45%,55%,19.8%,"308,920",73%,27%
48,Texas,TX,2023,17.6%,"5,366,440",165%,56%,44%,22.2%,"1,673,600",67%,33%
49,Utah,UT,2023,14.2%,"484,090",130%,34%,66%,17.2%,"161,000",49%,51%
50,Vermont,VT,2023,12.2%,"79,010",185%,50%,50%,13.9%,"15,960",52%,48%
51,Virginia,VA,2023,12.1%,"1,050,300",200%,61%,39%,14.0%,"261,730",71%,29%
53,Washington,WA,2023,13.2%,"1,027,920",200%,55%,45%,17.1%,"281,010",55%,45%
54,West Virginia,WV,2023,15.7%,"277,720",200%,66%,34%,20.2%,"71,140",71%,29%
55,Wisconsin,WI,2023,11.8%,"694,710",200%,58%,42%,16.3%,"202,600",73%,27%
56,Wyoming,WY,2023,15.4%,"90,020",130%,41%,59%,21.0%,"27,230",63%,37%
