State, Eligible People (Thousands), Participation Rate
New Mexico, 403, 100
Rhode Island, 119, 100
Oregon, 503, 100
Illinois, 1465, 100
Pennsylvania, 1520, 100
Massachusetts, 628, 100
Vermont, 57, 96
Washington, 697, 94
West Virginia, 284, 94
District of Columbia, 110, 93
Wisconsin, 549, 92
Maine, 138, 90
Connecticut, 331, 89
Delaware, 105, 87
Iowa, 289, 85
Michigan, 1179, 85
Maryland, 623, 85
Missouri, 764, 84
Oklahoma, 636, 84
Tennessee, 976, 84 
Nevada, 396, 84
Louisiana, 931, 83 
Hawaii, 166, 83
New York, 2727, 82
Alaska, 90, 81
Ohio, 1511, 81
Alabama, 825, 81
South Dakota, 95, 80
Idaho, 167, 79
Montana, 111, 79
New Hampshire, 79, 79
Nebraska, 181, 78
Virginia, 861, 77
Colorado, 510, 76
Minnesota, 454, 76
Arizona, 899, 74
Utah, 214, 74
North Carolina, 1449, 74
Indiana, 720, 73
Florida, 3263, 73
New Jersey, 830, 72
Georgia, 1709, 72
Kansas, 273, 70
South Carolina, 780, 69
Texas, 4161, 69
California, 5403, 66
North Dakota, 57, 66
Kentucky, 705, 65
Arkansas, 515, 62
Mississippi, 675, 62
Wyoming, 50, 49
United States, 42186, 78
