county_fips,state_fips,county,child_fi_rate,children_insecure
01001,01,Autauga County,0.169,2360.0
01003,01,Baldwin County,0.145,7440.0
01005,01,Barbour County,0.324,1680.0
01007,01,Bibb County,0.247,1100.0
01009,01,Blount County,0.155,2140.0
01011,01,Bullock County,0.358,750.0
01013,01,Butler County,0.298,1260.0
01015,01,Calhoun County,0.24,5950.0
01017,01,Chambers County,0.26,1860.0
01019,01,Cherokee County,0.183,870.0
01021,01,Chilton County,0.169,1850.0
01023,01,Choctaw County,0.278,690.0
01025,01,Clarke County,0.302,1500.0
01027,01,Clay County,0.216,630.0
01029,01,Cleburne County,0.188,630.0
01031,01,Coffee County,0.218,2840.0
01033,01,Colbert County,0.227,2800.0
01035,01,Conecuh County,0.361,830.0
01037,01,Coosa County,0.261,450.0
01039,01,Covington County,0.22,1830.0
01041,01,Crenshaw County,0.198,600.0
01043,01,Cullman County,0.173,3470.0
01045,01,Dale County,0.278,3200.0
01047,01,Dallas County,0.399,3570.0
01049,01,DeKalb County,0.192,3360.0
01051,01,Elmore County,0.183,3520.0
01053,01,Escambia County,0.276,2310.0
01055,01,Etowah County,0.221,4960.0
01057,01,Fayette County,0.216,750.0
01059,01,Franklin County,0.188,1510.0
01061,01,Geneva County,0.22,1300.0
01063,01,Greene County,0.455,740.0
01065,01,Hale County,0.307,1080.0
01067,01,Henry County,0.218,780.0
01069,01,Houston County,0.256,6340.0
01071,01,Jackson County,0.213,2340.0
01073,01,Jefferson County,0.235,36160.0
01075,01,Lamar County,0.185,570.0
01077,01,Lauderdale County,0.193,3580.0
01079,01,Lawrence County,0.189,1360.0
01081,01,Lee County,0.173,6510.0
01083,01,Limestone County,0.134,3210.0
01085,01,Lowndes County,0.417,920.0
01087,01,Macon County,0.367,1080.0
01089,01,Madison County,0.159,13740.0
01091,01,Marengo County,0.315,1350.0
01093,01,Marion County,0.215,1330.0
01095,01,Marshall County,0.166,4250.0
01097,01,Mobile County,0.244,23600.0
01099,01,Monroe County,0.276,1150.0
01101,01,Montgomery County,0.303,16570.0
01103,01,Morgan County,0.181,5240.0
01105,01,Perry County,0.468,820.0
01107,01,Pickens County,0.323,1180.0
01109,01,Pike County,0.273,1720.0
01111,01,Randolph County,0.206,960.0
01113,01,Russell County,0.3,4290.0
01115,01,St. Clair County,0.153,3180.0
01117,01,Shelby County,0.1,5240.0
01119,01,Sumter County,0.393,910.0
01121,01,Talladega County,0.264,4450.0
01123,01,Tallapoosa County,0.236,1980.0
01125,01,Tuscaloosa County,0.208,10080.0
01127,01,Walker County,0.227,3340.0
01129,01,Washington County,0.2,630.0
01131,01,Wilcox County,0.44,1020.0
01133,01,Winston County,0.227,1090.0
02013,02,Aleutians East Borough,0.222,90.0
02016,02,Aleutians West Census Area,0.18,120.0
02020,02,Anchorage Municipality,0.156,10710.0
02050,02,Bethel Census Area,0.27,1740.0
02060,02,Bristol Bay Borough,0.136,20.0
02063,02,Chugach Census Area,0.17,260.0
02066,02,Copper River Census Area,0.226,150.0
02068,02,Denali Borough,0.111,30.0
02070,02,Dillingham Census Area,0.217,320.0
02090,02,Fairbanks North Star Borough,0.15,3430.0
02100,02,Haines Borough,0.172,80.0
02105,02,Hoonah-Angoon Census Area,0.213,70.0
02110,02,Juneau City and Borough,0.136,880.0
02122,02,Kenai Peninsula Borough,0.174,2310.0
02130,02,Ketchikan Gateway Borough,0.163,470.0
02150,02,Kodiak Island Borough,0.15,460.0
02158,02,Kusilvak Census Area,0.318,1100.0
02164,02,Lake and Peninsula Borough,0.234,60.0
02170,02,Matanuska-Susitna Borough,0.16,4590.0
02180,02,Nome Census Area,0.234,790.0
02185,02,North Slope Borough,0.19,520.0
02188,02,Northwest Arctic Borough,0.25,710.0
02195,02,Petersburg Borough,0.172,110.0
02198,02,Prince of Wales-Hyder Census Area,0.236,290.0
02220,02,Sitka City and Borough,0.172,280.0
02230,02,Skagway Municipality,0.192,30.0
02240,02,Southeast Fairbanks Census Area,0.206,360.0
02275,02,Wrangell City and Borough,0.265,110.0
02282,02,Yakutat City and Borough,0.263,20.0
02290,02,Yukon-Koyukuk Census Area,0.277,390.0
04001,04,Apache County,0.308,5330.0
04003,04,Cochise County,0.226,5940.0
04005,04,Coconino County,0.217,6230.0
04007,04,Gila County,0.26,2650.0
04009,04,Graham County,0.203,2100.0
04011,04,Greenlee County,0.186,480.0
04012,04,La Paz County,0.286,750.0
04013,04,Maricopa County,0.171,175720.0
04015,04,Mohave County,0.27,9610.0
04017,04,Navajo County,0.282,7770.0
04019,04,Pima County,0.192,40050.0
04021,04,Pinal County,0.184,17960.0
04023,04,Santa Cruz County,0.209,2630.0
04025,04,Yavapai County,0.214,8060.0
04027,04,Yuma County,0.243,12520.0
05001,05,Arkansas County,0.25,970.0
05003,05,Ashley County,0.305,1300.0
05005,05,Baxter County,0.259,1940.0
05007,05,Benton County,0.133,10080.0
05009,05,Boone County,0.199,1710.0
05011,05,Bradley County,0.289,740.0
05013,05,Calhoun County,0.21,180.0
05015,05,Carroll County,0.186,1170.0
05017,05,Chicot County,0.379,840.0
05019,05,Clark County,0.277,1170.0
05021,05,Clay County,0.271,840.0
05023,05,Cleburne County,0.252,1190.0
05025,05,Cleveland County,0.27,430.0
05027,05,Columbia County,0.324,1570.0
05029,05,Conway County,0.283,1340.0
05031,05,Craighead County,0.273,7740.0
05033,05,Crawford County,0.232,3400.0
05035,05,Crittenden County,0.353,4590.0
05037,05,Cross County,0.281,1140.0
05039,05,Dallas County,0.325,420.0
05041,05,Desha County,0.397,1110.0
05043,05,Drew County,0.306,1160.0
05045,05,Faulkner County,0.2,5730.0
05047,05,Franklin County,0.244,950.0
05049,05,Fulton County,0.223,560.0
05051,05,Garland County,0.255,5110.0
05053,05,Grant County,0.185,720.0
05055,05,Greene County,0.245,2730.0
05057,05,Hempstead County,0.273,1380.0
05059,05,Hot Spring County,0.264,1710.0
05061,05,Howard County,0.255,840.0
05063,05,Independence County,0.246,2270.0
05065,05,Izard County,0.276,680.0
05067,05,Jackson County,0.321,1050.0
05069,05,Jefferson County,0.359,5110.0
05071,05,Johnson County,0.239,1520.0
05073,05,Lafayette County,0.339,390.0
05075,05,Lawrence County,0.263,960.0
05077,05,Lee County,0.424,700.0
05079,05,Lincoln County,0.276,570.0
05081,05,Little River County,0.256,680.0
05083,05,Logan County,0.23,1050.0
05085,05,Lonoke County,0.193,3610.0
05087,05,Madison County,0.225,900.0
05089,05,Marion County,0.248,790.0
05091,05,Miller County,0.287,2890.0
05093,05,Mississippi County,0.329,3420.0
05095,05,Monroe County,0.356,550.0
05097,05,Montgomery County,0.29,450.0
05099,05,Nevada County,0.395,730.0
05101,05,Newton County,0.227,310.0
05103,05,Ouachita County,0.338,1680.0
05105,05,Perry County,0.207,460.0
05107,05,Phillips County,0.439,1870.0
05109,05,Pike County,0.223,510.0
05111,05,Poinsett County,0.278,1520.0
05113,05,Polk County,0.244,1070.0
05115,05,Pope County,0.226,3340.0
05117,05,Prairie County,0.191,310.0
05119,05,Pulaski County,0.276,25770.0
05121,05,Randolph County,0.293,1340.0
05123,05,St. Francis County,0.417,2020.0
05125,05,Saline County,0.169,4960.0
05127,05,Scott County,0.23,520.0
05129,05,Searcy County,0.322,520.0
05131,05,Sebastian County,0.234,7170.0
05133,05,Sevier County,0.219,990.0
05135,05,Sharp County,0.252,910.0
05137,05,Stone County,0.265,660.0
05139,05,Union County,0.274,2520.0
05141,05,Van Buren County,0.236,720.0
05143,05,Washington County,0.168,10080.0
05145,05,White County,0.231,4170.0
05147,05,Woodruff County,0.287,380.0
05149,05,Yell County,0.2,970.0
06001,06,Alameda County,0.122,40420.0
06003,06,Alpine County,0.13,50.0
06005,06,Amador County,0.148,940.0
06007,06,Butte County,0.202,8680.0
06009,06,Calaveras County,0.204,1590.0
06011,06,Colusa County,0.204,1220.0
06013,06,Contra Costa County,0.126,32420.0
06015,06,Del Norte County,0.206,1180.0
06017,06,El Dorado County,0.124,4680.0
06019,06,Fresno County,0.218,61850.0
06021,06,Glenn County,0.171,1280.0
06023,06,Humboldt County,0.22,5660.0
06025,06,Imperial County,0.257,13150.0
06027,06,Inyo County,0.149,570.0
06029,06,Kern County,0.217,56850.0
06031,06,Kings County,0.211,8720.0
06033,06,Lake County,0.226,3350.0
06035,06,Lassen County,0.214,1200.0
06037,06,Los Angeles County,0.184,377910.0
06039,06,Madera County,0.217,9430.0
06041,06,Marin County,0.077,3950.0
06043,06,Mariposa County,0.206,590.0
06045,06,Mendocino County,0.213,4080.0
06047,06,Merced County,0.222,18520.0
