,Location,Year,Distance,Stroke,Gender,Results
0,Amsterdam,1928,100m,Freestyle,Men,60.0
2,Angeles,1932,100m,Freestyle,Men,58.2
4,Angeles,1984,100m,Freestyle,Men,49.8
6,Antwerp,1920,100m,Freestyle,Men,61.4
7,Athens,2004,100m,Freestyle,Men,48.17
9,Atlanta,1996,100m,Freestyle,Men,48.74
11,Barcelona,1992,100m,Freestyle,Men,49.02
13,Beijing,2008,100m,Freestyle,Men,47.21
15,Berlin,1936,100m,Freestyle,Men,57.6
17,City,1968,100m,Freestyle,Men,52.2
19,Helsinki,1952,100m,Freestyle,Men,57.4
21,London,1948,100m,Freestyle,Men,60.5
23,London,2012,100m,Freestyle,Men,47.52
25,Melbourne,1956,100m,Freestyle,Men,55.4
27,Montreal,1976,100m,Freestyle,Men,49.99
29,Moscow,1980,100m,Freestyle,Men,50.4
31,Munich,1972,100m,Freestyle,Men,51.22
33,Paris,1924,100m,Freestyle,Men,61.4
35,Rio,2016,100m,Freestyle,Men,47.58
37,Rome,1960,100m,Freestyle,Men,55.1
39,Seoul,1988,100m,Freestyle,Men,48.63
41,Stockholm,1912,100m,Freestyle,Men,63.4
43,Sydney,2000,100m,Freestyle,Men,48.3
45,Tokyo,1964,100m,Freestyle,Men,53.4
47,Tokyo,2020,100m,Freestyle,Men,47.02
