,Location,Year,Distance,Stroke,Gender,Results
1,Amsterdam,1928,100m,Freestyle,Women,71.0
3,Angeles,1932,100m,Freestyle,Women,66.8
5,Angeles,1984,100m,Freestyle,Women,55.92
8,Athens,2004,100m,Freestyle,Women,53.84
10,Atlanta,1996,100m,Freestyle,Women,54.5
12,Barcelona,1992,100m,Freestyle,Women,54.64
14,Beijing,2008,100m,Freestyle,Women,53.12
16,Berlin,1936,100m,Freestyle,Women,65.9
18,City,1968,100m,Freestyle,Women,60.0
20,Helsinki,1952,100m,Freestyle,Women,66.8
22,London,1948,100m,Freestyle,Women,66.3
24,London,2012,100m,Freestyle,Women,53.0
26,Melbourne,1956,100m,Freestyle,Women,62.0
28,Montreal,1976,100m,Freestyle,Women,55.65
30,Moscow,1980,100m,Freestyle,Women,54.79
32,Munich,1972,100m,Freestyle,Women,60.0
34,Paris,1924,100m,Freestyle,Women,72.4
36,Rio,2016,100m,Freestyle,Women,52.7
38,Rome,1960,100m,Freestyle,Women,61.2
40,Seoul,1988,100m,Freestyle,Women,54.93
42,Stockholm,1912,100m,Freestyle,Women,82.2
44,Sydney,2000,100m,Freestyle,Women,53.83
46,Tokyo,1964,100m,Freestyle,Women,60.8
48,Tokyo,2020,100m,Freestyle,Women,51.96
