month,monthName,precip,cloudcover,daylightHours,solarenergy,windspeed,feelslike,rainActive,cloudActive,lowDaylightActive,lowSolarActive,windActive,tempDiscomfortActive
1,Jan,1.115,58.832258064516125,8.960967741935484,4.054838709677419,8.061290322580644,37.99354838709677,5,15,30,16,5,30
2,Feb,1.9000000000000001,73.39642857142857,10.301785714285714,5.507142857142857,10.885714285714286,38.510714285714286,11,20,0,7,12,20
3,Mar,3.2720000000000002,80.30645161290323,11.961935483870967,8.716129032258063,12.193548387096774,45.670967741935485,14,22,0,0,20,15
4,Apr,2.133,53.480000000000004,13.687999999999999,16.443333333333335,10.526666666666667,51.68,7,13,0,0,17,1
5,May,0.868,52.81612903225806,15.168387096774195,19.887096774193548,10.629032258064516,57.00645161290323,6,9,0,0,18,0
6,Jun,0.21200000000000002,46.480000000000004,15.922333333333334,22.540000000000003,10.08,63.333333333333336,1,10,0,0,14,0
7,Jul,0.002,30.65806451612903,15.513870967741935,23.20967741935484,9.996774193548386,67.96129032258065,0,2,0,0,13,0
8,Aug,0.625,43.34838709677419,14.189032258064517,18.448387096774194,9.641935483870967,69.16774193548386,2,7,0,0,12,0
9,Sep,0.539,40.776666666666664,12.527666666666667,13.866666666666667,9.166666666666666,64.34333333333333,3,6,0,0,10,0
10,Oct,2.646,58.84193548387096,10.812903225806451,7.97741935483871,10.951612903225806,52.809677419354834,10,13,0,5,13,2
11,Nov,3.572,75.70333333333333,9.290666666666665,3.46,10.06,48.64,10,20,20,18,14,5
12,Dec,5.827,80.88387096774194,8.496451612903225,2.2,12.219354838709679,43.57096774193548,16,21,31,20,17,19
