ID,Athlete,Year,Location,Team,Age,Height,Weight,Stroke,Distance,Results
6,Emma Mckeon,2020,Tokyo,AUS,26,180,60,Freestyle,100m,51.96
22,Penny Oleksiak,2016,Rio,CAN,16,185,68,Freestyle,100m,52.7
24,Simone Manuel,2016,Rio,USA,20,178,73,Freestyle,100m,52.7
23,Ranomi Kromowidjojo,2012,London,NED,21.0,180.0,72.0,Freestyle,100m,53.0
2,Britta Steffen,2008,Beijing,GER,24.0,180.0,60.0,Freestyle,100m,53.12
12,Inge De Bruijn,2000,Sydney,NED,27,174,55,Freestyle,100m,53.83
15,Jodie Henry,2004,Athens,AUS,21,176,63,Freestyle,100m,53.84
14,Jingyi Le,1996,Atlanta,CHN,21,178,68,Freestyle,100m,54.5
25,Yong Zhuang,1992,Barcelona,CHN,20,172,68,Freestyle,100m,54.64
1,Barbara Krause,1980,Moscow,GDR,21,180,68,Freestyle,100m,54.79
