State,Territory,June_2024,May_2025_Preliminary,June_2025_Initial,Percent_Change_June25_vs_June24
Alabama, ,55209,441729,42922,-22.3%
Alaska, ,1047,40611,1944,85.6%
Arizona, ,52513,565413,9626,-81.7%
Arkansas*, ,36729,266439,187099,409.4%
California, ,1983619,3251204,1765595,-11.0%
Colorado, ,8807,407520,12382,40.6%
Connecticut, ,253124,293736,247329,-2.3%
Delaware, ,71475,95794,77604,8.6%
District of Columbia, ,28808,51729,26004,-9.7%
Florida, ,209506,1686581,232137,10.8%
Georgia, ,157244,1056736,145544,-7.4%
Guam, ,350,13976,575,64.5%
Hawaii, ,8820,3475,8091,-8.3%
Idaho, ,22738,125857,33247,46.2%
Illinois, ,172831,922440,303151,75.4%
Indiana, ,9124,700287,67526,640.1%
Iowa, ,26094,345175,69239,165.3%
Kansas, ,3737,283333,7255,94.1%
Kentucky, ,2823,471041,13416,375.2%
Louisiana, ,13708,422650,25480,85.9%
Maine, ,103940,116786,105157,1.2%
Maryland, ,366749,464888,391069,6.6%
Massachusetts, ,533571,625679,560679,5.1%
Michigan, ,628383,902028,699708,11.4%
Minnesota, ,236657,649941,62937,-73.4%
Mississippi, ,4569,256619,4068,-11.0%
Missouri, ,62707,508859,62297,-0.7%
Montana, ,29723,73796,41792,40.6%
Nebraska, ,2510,215407,3365,34.0%
Nevada, ,32296,219157,27753,-14.1%
New Hampshire, ,68386,68981,64797,-5.2%
New Jersey, ,643159,745488,734334,14.2%
New Mexico, ,49381,194234,35056,-29.0%
New York, ,1477758,1761722,1574718,6.6%
North Carolina, ,349190,827832,368766,5.6%
North Dakota, ,1026,87503,1031,0.5%
Ohio, ,49998,919083,236776,373.6%
Oklahoma, ,11682,413905,10573,-9.5%
Oregon, ,246697,298046,276574,12.1%
Pennsylvania, ,494972,969740,620491,25.4%
Puerto Rico, ,1211,101845,1743,43.9%
Rhode Island, ,60899,75736,65626,7.8%
South Carolina, ,120436,474529,101217,-16.0%
South Dakota, ,1983,93422,2038,2.8%
Tennessee, ,82049,602710,100550,22.5%
Texas*, ,412545,3178436,426051,3.3%
Utah, ,32657,309773,78470,140.3%
Vermont, ,49520,54085,49729,0.4%
Virginia, ,353777,725662,369090,4.3%
Virgin Islands, ,15,3020,14,-7.1%
Washington, ,518819,556808,521433,0.5%
West Virginia, ,18077,158497,53982,198.6%
Wisconsin, ,244662,474430,308170,26.0%
Wyoming, ,3242,40838,2875,-11.3%
Dept. of Defense, ,6523,22491,21737,233.2%
TOTAL, ,10418069,28637701,11260832,8.1%
