date,month,monthName,dayOfYear,temp,feelslike,precip,cloudcover,solarenergy,uvindex,windspeed,sunrise,sunset,daylightHours,conditions,description,rainActive,cloudActive,lowDaylightActive,lowSolarActive,windActive,tempDiscomfortActive
2025-01-01,1,Jan,1,41.3,40.2,0.007,64.9,2.3,2,6.7,2025-01-01T07:57:44,2025-01-01T16:28:51,8.52,Partially cloudy,Partly cloudy throughout the day.,0,0,1,1,0,1
2025-01-02,1,Jan,2,42.2,41.1,0.019,84.6,1.3,1,7.2,2025-01-02T07:57:40,2025-01-02T16:29:51,8.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,0,1,1,1,0,1
2025-01-03,1,Jan,3,43.2,41.5,0.292,81.9,0.9,1,8.5,2025-01-03T07:57:34,2025-01-03T16:30:53,8.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,1,1,1,1,0,1
2025-01-04,1,Jan,4,43.4,41.8,0.081,98.9,1.0,1,10.0,2025-01-04T07:57:24,2025-01-04T16:31:57,8.58,"Rain, Overcast",Cloudy skies throughout the day with rain.,1,1,1,1,1,1
2025-01-05,1,Jan,5,48.0,47.1,0.014,99.7,0.9,1,7.2,2025-01-05T07:57:12,2025-01-05T16:33:04,8.6,Overcast,Cloudy skies throughout the day.,0,1,1,1,0,0
2025-01-06,1,Jan,6,44.5,42.4,0.0,99.2,1.6,1,9.5,2025-01-06T07:56:57,2025-01-06T16:34:12,8.62,Overcast,Cloudy skies throughout the day.,0,1,1,1,0,1
2025-01-07,1,Jan,7,42.0,40.3,0.0,87.7,2.8,3,8.4,2025-01-07T07:56:40,2025-01-07T16:35:22,8.64,Partially cloudy,Partly cloudy throughout the day.,0,1,1,1,0,1
2025-01-08,1,Jan,8,45.9,44.3,0.028,84.8,3.7,4,8.2,2025-01-08T07:56:19,2025-01-08T16:36:34,8.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,0,1,1,0,0,1
2025-01-09,1,Jan,9,45.3,44.3,0.0,69.0,5.3,3,8.2,2025-01-09T07:55:56,2025-01-09T16:37:47,8.7,Partially cloudy,Partly cloudy throughout the day.,0,0,1,0,0,1
2025-01-10,1,Jan,10,46.0,43.6,0.177,85.3,1.6,2,11.6,2025-01-10T07:55:29,2025-01-10T16:39:03,8.73,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,1,1,1,1,1,1
2025-01-11,1,Jan,11,42.3,40.5,0.0,56.7,4.3,3,7.2,2025-01-11T07:55:01,2025-01-11T16:40:19,8.76,Partially cloudy,Partly cloudy throughout the day.,0,0,1,0,0,1
2025-01-12,1,Jan,12,39.0,38.9,0.001,78.8,2.2,2,4.7,2025-01-12T07:54:29,2025-01-12T16:41:38,8.79,Partially cloudy,Partly cloudy throughout the day.,0,1,1,1,0,1
2025-01-13,1,Jan,13,37.3,35.8,0.0,79.0,2.7,2,7.0,2025-01-13T07:53:55,2025-01-13T16:42:57,8.82,Partially cloudy,Partly cloudy throughout the day.,0,1,1,1,0,1
2025-01-14,1,Jan,14,38.3,36.9,0.0,98.8,1.8,1,6.4,2025-01-14T07:53:18,2025-01-14T16:44:19,8.85,Overcast,Cloudy skies throughout the day.,0,1,1,1,0,1
2025-01-15,1,Jan,15,39.1,37.6,0.0,100.0,1.7,1,6.2,2025-01-15T07:52:38,2025-01-15T16:45:41,8.88,Overcast,Cloudy skies throughout the day.,0,1,1,1,0,1
2025-01-16,1,Jan,16,39.4,36.2,0.001,98.6,1.9,2,10.6,2025-01-16T07:51:56,2025-01-16T16:47:05,8.92,Overcast,Cloudy skies throughout the day.,0,1,1,1,1,1
2025-01-17,1,Jan,17,38.8,37.7,0.002,69.7,2.7,2,6.7,2025-01-17T07:51:11,2025-01-17T16:48:29,8.96,Partially cloudy,Partly cloudy throughout the day.,0,0,1,1,0,1
2025-01-18,1,Jan,18,35.6,34.5,0.0,38.2,6.8,4,6.5,2025-01-18T07:50:24,2025-01-18T16:49:55,8.99,Partially cloudy,Clearing in the afternoon.,0,0,1,0,0,1
2025-01-19,1,Jan,19,34.4,33.2,0.0,13.1,6.8,4,8.6,2025-01-19T07:49:34,2025-01-19T16:51:22,9.03,Clear,Clear conditions throughout the day.,0,0,1,0,0,1
2025-01-20,1,Jan,20,34.6,33.7,0.0,13.5,6.1,3,7.5,2025-01-20T07:48:42,2025-01-20T16:52:50,9.07,Clear,Clear conditions throughout the day.,0,0,1,0,0,1
2025-01-21,1,Jan,21,34.8,32.8,0.0,14.1,6.8,4,6.8,2025-01-21T07:47:48,2025-01-21T16:54:18,9.11,Clear,Clear conditions throughout the day.,0,0,1,0,0,1
2025-01-22,1,Jan,22,35.4,33.3,0.0,11.6,7.1,4,9.0,2025-01-22T07:46:51,2025-01-22T16:55:48,9.15,Clear,Clear conditions throughout the day.,0,0,1,0,0,1
2025-01-23,1,Jan,23,36.4,35.4,0.0,32.8,4.6,3,7.7,2025-01-23T07:45:52,2025-01-23T16:57:18,9.19,Partially cloudy,Partly cloudy throughout the day.,0,0,1,0,0,1
2025-01-24,1,Jan,24,39.5,37.6,0.0,45.9,6.9,4,7.8,2025-01-24T07:44:50,2025-01-24T16:58:49,9.23,Partially cloudy,Clearing in the afternoon.,0,0,1,0,0,1
2025-01-25,1,Jan,25,36.5,33.8,0.0,6.6,7.8,4,8.5,2025-01-25T07:43:47,2025-01-25T17:00:21,9.28,Clear,Clear conditions throughout the day.,0,0,1,0,0,1
2025-01-26,1,Jan,26,34.4,33.9,0.0,8.1,7.8,4,5.4,2025-01-26T07:42:41,2025-01-26T17:01:53,9.32,Clear,Clear conditions throughout the day.,0,0,1,0,0,1
2025-01-27,1,Jan,27,35.7,34.6,0.0,0.0,7.9,4,6.9,2025-01-27T07:41:33,2025-01-27T17:03:25,9.36,Clear,Clear conditions throughout the day.,0,0,1,0,0,1
2025-01-28,1,Jan,28,35.5,34.7,0.0,3.1,7.9,4,5.5,2025-01-28T07:40:23,2025-01-28T17:04:58,9.41,Clear,Clear conditions throughout the day.,0,0,1,0,0,1
2025-01-29,1,Jan,29,36.4,34.9,0.0,28.9,6.3,4,6.0,2025-01-29T07:39:10,2025-01-29T17:06:32,9.46,Partially cloudy,Clearing in the afternoon.,0,0,1,0,0,1
2025-01-30,1,Jan,30,38.1,33.7,0.061,79.7,2.0,1,11.9,2025-01-30T07:37:56,2025-01-30T17:08:06,9.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,1,1,1,1,1,1
2025-01-31,1,Jan,31,45.1,41.5,0.432,90.6,2.2,2,17.5,2025-01-31T07:36:40,2025-01-31T17:09:40,9.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,1,1,0,1,1,1
2025-02-01,2,Feb,32,38.4,31.6,0.082,76.0,3.8,3,14.6,2025-02-01T07:35:22,2025-02-01T17:11:14,9.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,1,1,0,0,1,1
2025-02-02,2,Feb,33,34.2,27.8,0.037,81.7,4.0,4,12.1,2025-02-02T07:34:02,2025-02-02T17:12:49,9.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,0,1,0,0,1,1
2025-02-03,2,Feb,34,35.0,31.0,0.017,94.1,2.9,2,8.5,2025-02-03T07:32:40,2025-02-03T17:14:24,9.7,Overcast,Cloudy skies throughout the day.,0,1,0,1,0,1
2025-02-04,2,Feb,35,35.8,32.9,0.0,73.7,8.4,5,7.3,2025-02-04T07:31:17,2025-02-04T17:15:58,9.74,Partially cloudy,Partly cloudy throughout the day.,0,0,0,0,0,1
2025-02-05,2,Feb,36,34.9,31.8,0.063,97.3,3.1,2,10.0,2025-02-05T07:29:52,2025-02-05T17:17:33,9.79,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,1,1,0,0,1,1
2025-02-06,2,Feb,37,35.7,31.3,0.108,91.1,7.0,6,12.5,2025-02-06T07:28:25,2025-02-06T17:19:09,9.85,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,1,1,0,0,1,1
2025-02-07,2,Feb,38,34.9,30.8,0.0,52.9,7.0,5,8.2,2025-02-07T07:26:56,2025-02-07T17:20:44,9.9,Partially cloudy,Partly cloudy throughout the day.,0,0,0,0,0,1
2025-02-08,2,Feb,39,37.3,36.6,0.011,99.0,4.0,3,4.9,2025-02-08T07:25:26,2025-02-08T17:22:19,9.95,Overcast,Cloudy skies throughout the day.,0,1,0,0,0,1
2025-02-09,2,Feb,40,38.2,36.4,0.0,90.4,6.8,3,5.6,2025-02-09T07:23:54,2025-02-09T17:23:54,10.0,Overcast,Cloudy skies throughout the day.,0,1,0,0,0,1
2025-02-10,2,Feb,41,34.5,31.2,0.0,77.9,6.1,3,10.6,2025-02-10T07:22:21,2025-02-10T17:25:29,10.05,Partially cloudy,Partly cloudy throughout the day.,0,1,0,0,1,1
2025-02-11,2,Feb,42,30.6,28.0,0.0,2.0,10.5,5,8.1,2025-02-11T07:20:46,2025-02-11T17:27:03,10.1,Clear,Clear conditions throughout the day.,0,0,0,0,0,1
2025-02-12,2,Feb,43,32.2,29.7,0.0,3.8,10.7,5,10.4,2025-02-12T07:19:10,2025-02-12T17:28:38,10.16,Clear,Clear conditions throughout the day.,0,0,0,0,1,1
2025-02-13,2,Feb,44,33.3,30.0,0.0,56.3,4.1,2,13.0,2025-02-13T07:17:33,2025-02-13T17:30:13,10.21,Partially cloudy,Partly cloudy throughout the day.,0,0,0,0,1,1
2025-02-14,2,Feb,45,37.0,33.2,0.018,98.4,4.0,3,8.5,2025-02-14T07:15:54,2025-02-14T17:31:47,10.26,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,0,1,0,0,0,1
2025-02-15,2,Feb,46,40.6,39.4,0.028,98.9,2.6,1,5.1,2025-02-15T07:14:14,2025-02-15T17:33:21,10.32,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,0,1,0,1,0,1
2025-02-16,2,Feb,47,44.2,41.1,0.077,99.6,3.9,2,9.3,2025-02-16T07:12:32,2025-02-16T17:34:55,10.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,1,1,0,0,0,1
2025-02-17,2,Feb,48,45.5,43.1,0.091,100.0,3.0,2,7.1,2025-02-17T07:10:50,2025-02-17T17:36:29,10.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,1,1,0,1,0,1
2025-02-18,2,Feb,49,48.2,47.1,0.0,96.3,5.5,4,6.0,2025-02-18T07:09:06,2025-02-18T17:38:03,10.48,Overcast,Cloudy skies throughout the day.,0,1,0,0,0,0
2025-02-19,2,Feb,50,48.6,45.0,0.086,86.0,4.1,3,19.1,2025-02-19T07:07:21,2025-02-19T17:39:36,10.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,1,1,0,0,1,1
2025-02-20,2,Feb,51,46.6,43.1,0.005,90.1,3.9,2,17.4,2025-02-20T07:05:35,2025-02-20T17:41:09,10.59,Overcast,Cloudy skies throughout the day.,0,1,0,0,1,1
2025-02-21,2,Feb,52,46.3,45.2,0.128,81.5,2.9,2,9.0,2025-02-21T07:03:48,2025-02-21T17:42:42,10.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,1,1,0,1,0,0
2025-02-22,2,Feb,53,50.2,49.6,0.342,98.3,1.8,1,9.2,2025-02-22T07:02:00,2025-02-22T17:44:15,10.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,1,1,0,1,0,0
2025-02-23,2,Feb,54,50.2,49.2,0.276,95.7,1.9,1,16.5,2025-02-23T07:00:11,2025-02-23T17:45:47,10.76,"Rain, Overcast",Cloudy skies throughout the day with rain.,1,1,0,1,1,0
