ID,Athlete,Year,Location,Team,Age,Height,Weight,Stroke,Distance,Results
6,Emma Mckeon,2020,Tokyo,AUS,26,180,60,Freestyle,100m,51.96
22,Penny Oleksiak,2016,Rio,CAN,16,185,68,Freestyle,100m,52.7
24,Simone Manuel,2016,Rio,USA,20,178,73,Freestyle,100m,52.7
23,Ranomi Kromowidjojo,2012,London,NED,21.0,180.0,72.0,Freestyle,100m,53.0
2,Britta Steffen,2008,Beijing,GER,24.0,180.0,60.0,Freestyle,100m,53.12
12,Inge De Bruijn,2000,Sydney,NED,27,174,55,Freestyle,100m,53.83
15,Jodie Henry,2004,Athens,AUS,21,176,63,Freestyle,100m,53.84
14,Jingyi Le,1996,Atlanta,CHN,21,178,68,Freestyle,100m,54.5
25,Yong Zhuang,1992,Barcelona,CHN,20,172,68,Freestyle,100m,54.64
1,Barbara Krause,1980,Moscow,GDR,21,180,68,Freestyle,100m,54.79
19,Kristin Otto,1988,Seoul,GDR,22.0,185.0,70.0,Freestyle,100m,54.93
18,Kornelia Ender,1976,Montreal,GDR,18,172,59,Freestyle,100m,55.65
3,Carolyn Steinseifer,1984,Angeles,USA,16,167,57,Freestyle,100m,55.92
21,Nancy Lynn Hogshead,1984,Angeles,USA,22,172,66,Freestyle,100m,55.92
20,Magdolna Patoh,1972,Munich,HUN,24,174,61,Freestyle,100m,60.0
13,Jane Margo Henne,1968,City,USA,21,170,64,Freestyle,100m,60.0
17,Kathy Ellis,1964,Tokyo,USA,18,169,59,Freestyle,100m,60.8
5,Dawn Fraser,1960,Rome,AUS,23,172,67,Freestyle,100m,61.2
4,Dawn Fraser,1956,Melbourne,AUS,19,172,67,Freestyle,100m,62.0
11,Hendrika Mastenbroek,1936,Berlin,NED,17,,,Freestyle,100m,65.9
9,Greta Marie Andersen,1948,London,DEN,21,,,Freestyle,100m,66.3
16,Katalin Szöke,1952,Helsinki,HUN,17,,,Freestyle,100m,66.8
10,Helene Madison,1932,Angeles,USA,19,,,Freestyle,100m,66.8
0,Albina Lucy Osipowich,1928,Amsterdam,USA,17,,,Freestyle,100m,71.0
7,Ethel Lackie,1924,Paris,USA,17,,,Freestyle,100m,72.4
8,Fanny Durack,1912,Stockholm,ANZ,23,,,Freestyle,100m,82.2
